0.141421462,0.955180206,0,0.293083475,0.291076877,0,0,0,0,0,0.647518482,0.472158795,0.546590335,0.225401916,0.343224622
1.176921357,1.50918352,0.784761712,1.204595687,1.204108979,1.049568557,1.074064245,1.161710499,1.163963091,0.970501818,1.335843756,1.260200572,1.289939107,1.189938687,1.217768592
1.658483431,1.908711648,1.40754017,1.678238117,1.677888758,1.570661916,1.587137614,1.647722622,1.64931178,1.518959076,1.774811672,1.718591459,1.740518421,1.667747492,1.687719499
2.028859369,2.238080668,1.82941721,2.04504162,2.044754893,1.957713765,1.970958457,2.020071293,2.021367917,1.916475722,2.125020953,2.078289529,2.096460229,2.036440265,2.05283061
2.341421172,2.524897965,2.170862737,2.355458977,2.355210007,2.280041057,2.291424967,2.333809318,2.334931878,2.24472747,2.425232227,2.384386262,2.400242974,2.347994021,2.362225568
2.616966881,2.782354077,2.465522761,2.629535805,2.629312757,2.56218872,2.57232566,2.610157778,2.611161673,2.530810821,2.692223701,2.655482654,2.669731629,2.622850107,2.635599657
2.866192261,3.017972593,2.728596671,2.877674404,2.877470562,2.816258993,2.825485814,2.859975732,2.860892091,2.787738379,2.935075032,2.901406259,2.914454921,2.871565656,2.883217185
3.095461264,3.236526364,2.968494066,3.106097446,3.10590857,3.049278329,3.057803265,3.089705275,3.090553636,3.022953366,3.159357906,3.128099803,3.140208265,3.100438016,3.11123401
3.308924723,3.441268267,3.190447343,3.318878234,3.318701445,3.265755954,3.273718305,3.303539951,3.30433352,3.241186333,3.368783066,3.339481772,3.350828023,3.313581519,3.323686631
3.509467951,3.634533228,3.397974625,3.518855527,3.518688762,3.46879023,3.476288591,3.504390649,3.505138848,3.445665497,3.565969212,3.538297434,3.549009585,3.513859584,3.523391643
3.699192878,3.818064494,3.593576074,3.708101386,3.70794311,3.660618737,3.667725911,3.694375672,3.695085499,3.638710314,3.752846078,3.726558619,3.736732505,3.703360101,3.712406861
